playerID,daysActive,BatG,BatBA,BatHR,FieldG,PitchW,PitchL,allStarCount,Cy_Young_Award,Gold_Glove_Award,Silver_Slugger,MVP,avgSalary,inducted
tayloto02,6742,2199,0.261079,75,2035,0,0,2,0,0,0,0,0,0
tebbebi01,5842,1166,0.269179,38,1111,0,0,4,0,0,0,0,0,0
tekulke01,5536,1059,0.0806452,0,1060,94,91,1,0,0,0,0,873750,0
templga01,5535,2089,0.271696,70,2020,0,0,3,0,0,2,0,900964,0
tenacge01,5237,1597,0.239343,205,1597,0,0,1,0,0,0,1,0,0
tennefr01,122,37,0.215827,0,38,3,2,0,0,0,0,0,0,0
tennefr02,6321,1994,0.293746,22,1986,0,0,0,0,0,0,0,0,0
terrybi01,4747,1737,0.34073,156,1609,0,0,3,0,0,0,0,0,1
tettlmi01,4750,1489,0.240552,245,1139,0,0,2,0,0,3,0,1419678,0
tewksbo01,4551,303,0.131579,0,302,110,102,1,0,0,0,0,1288182,0
theveto01,5141,1237,0.248329,3,1216,0,0,0,0,0,0,0,0,0
thomafr04,6602,2338,0.300558,524,976,0,0,5,0,0,4,2,5813000,1
thomago01,4930,1453,0.223184,270,1182,0,0,1,0,0,0,0,450000,0
thomair01,3318,494,0.241304,3,461,0,0,0,0,0,0,0,0,0
thompro01,3820,1320,0.256383,122,1295,0,0,2,0,1,1,0,1574458,0
thompsa01,7739,1422,0.331016,129,1408,0,0,0,0,0,0,0,0,1
thomsbo01,5060,1785,0.270313,264,1706,0,0,3,0,0,0,0,0,0
thornan01,5147,1565,0.253638,253,743,0,0,2,0,0,1,0,1100000,0
tiantlu01,6621,579,0.165067,5,578,232,172,3,0,0,0,0,0,0
tidrodi01,4402,633,0.09375,0,633,101,94,0,0,0,0,0,0,0
timlimi01,6383,1105,0,0,1104,75,76,0,0,0,0,0,2137661,0
tinkejo01,5272,1825,0.261919,32,1813,0,0,0,0,0,0,0,0,1
tobinji01,3068,397,0.229611,17,289,105,112,1,0,0,0,0,0,0
tolanbo01,5129,1309,0.264291,88,1157,0,0,0,0,0,0,0,0,0
toneyfr01,4550,338,0.158602,3,338,139,102,0,0,0,0,0,0,0
torboje01,3429,574,0.213515,8,559,0,0,0,0,0,0,0,0,0
torgeea01,5244,1676,0.265638,149,1428,0,0,0,0,0,0,0,0,0
torrejo01,6109,2209,0.297435,252,2207,0,0,9,0,1,0,1,0,1
torremi01,6165,503,0.15311,0,498,187,161,0,0,0,0,0,0,0
tovarce01,4188,1496,0.27747,46,1476,0,0,0,0,0,0,0,0,0
trammal01,6960,2306,0.285646,188,2215,0,0,6,0,4,3,1,1410744,0
traynpi01,6177,1952,0.319474,59,1925,0,0,2,0,0,0,0,0,1
trillma01,5805,1797,0.262562,61,1745,0,0,4,0,3,2,1,476679,0
troutdi01,6714,538,0.21281,20,524,171,163,2,0,0,0,0,0,0
truckvi01,6208,519,0.179433,2,519,178,135,2,0,0,0,0,0,0
