playerID,BatG,BatAB,BatR,BatH,Bat2B,Bat3B,BatHR,BatRBI,BatSB,BatCS,BatBB,BatSO,BatIBB,BatHBP,BatSH,BatSF,BatGIDP,FieldG,FieldGS,FieldInnOuts,FieldPO,FieldA,FieldE,FieldDP,FieldPB,FieldWP,FieldSB,FieldCS,FieldZR,PitchW,PitchL,PitchG,PitchGS,PitchCG,PitchSHO,PitchSV,PitchIPouts,PitchH,PitchER,PitchHR,PitchBB,PitchSO,PitchBAOpp,PitchERA,PitchIBB,PitchWP,PitchHBP,PitchBK,PitchBFP,PitchGF,PitchR,PitchSH,PitchSF,PitchGIDP,allStarCount,AllStar_MVP,Babe_Ruth_Award,Cy_Young_Award,Gold_Glove_Award,DH_Award,Pitching_Crown,Relief_Award,ROY_Award,Silver_Slugger,Batting_Crown,World_Series_MVP,AL_MVP,NL_MVP,inducted
whiteea01,548,1291,107,264,23,7,4,98,3,0,97,216,0,1,57,0,1,542,0,0,166,701,47,31,0,0,0,0,0,218,185,541,473,226,16,11,10694,3917,1726,192,1431,1350,4.650000000000001,74.59,0,43,101,6,15795,46,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
whitefr01,2324,7859,912,2006,407,58,160,886,178,83,412,1035,27,30,101,65,156,2323,2151,56379,4942,6626,205,1459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,8,0,0,0,0,1,0,0,1,0,0
whiteha01,337,255,15,37,7,0,0,7,0,0,16,91,0,1,10,0,5,336,0,15,68,197,15,13,0,0,0,0,0,46,54,336,67,23,7,25,2761,875,387,47,450,349,3.3700000000000006,65.99,0,20,14,2,3986,144,443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
whitero01,1881,6650,964,1803,300,51,160,758,233,117,934,708,66,29,53,69,123,1652,1632,43459,3443,122,52,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
whitero02,1474,5357,756,1519,296,34,198,768,94,47,360,925,21,88,5,42,143,1246,1216,31068,2569,50,35,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
whiteso99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
whitewi01,403,1478,167,271,28,7,1,111,0,0,56,128,0,1,0,0,0,408,0,0,118,715,106,10,0,0,0,0,0,229,166,403,401,394,36,0,10628,3440,896,65,496,1041,1.26,28.55,0,168,68,0,14829,2,1844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wilheho01,1070,432,24,38,3,1,1,21,0,1,26,166,0,0,34,1,8,1070,52,5854,114,373,11,17,0,0,0,0,0,143,122,1070,52,20,5,227,6763,1757,632,150,778,1610,5.560000000000002,84.58,61,90,62,4,9164,651,773,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1
wilkijl99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
willibe02,2076,7869,1366,2336,449,55,287,1257,147,87,1069,1212,97,39,12,64,223,1924,1884,49988,4708,65,48,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,1,0,0,1,0,0
