playerID,daysActive,BatG,BatBA,BatHR,FieldG,FieldPercent,PitchW,PitchL,PitchKBB,allStarCount,Cy_Young_Award,Gold_Glove_Award,Silver_Slugger,MVP,avgSalary,inducted
perrypa02,1844,182,0.148148,0.125,182,0.883888,12,10,1.52814,0,0,0,0,0,106875,0
perryry01,1148,156,0,0,156,0.964275,6,6,1.54457,0,0,0,0,0,412833,0
perrysc01,2211,132,0.135135,0.142857,132,0.785357,40,68,1.18298,0,0,0,0,0,0,0
persoro01,2819,209,0.116822,0.4,206,0.73919,51,42,1.93047,0,0,0,0,0,1330222,0
pertibi01,1717,75,0.152381,0,75,0.7851,22,18,0.35465,0,0,0,0,0,0,0
perzast01,2656,37,0,0,37,0.97066,5,11,1.2798,0,0,0,0,0,0,0
peskyjo01,4546,1270,0.306639,1.41667,1188,0.916047,0,0,0,1,0,0,0,0,0,1
pestavi01,1752,224,0,0,223,0.714286,6,8,3.98623,0,0,0,0,0,639300,0
petagro01,4478,242,0.226776,1.71429,153,0.906818,0,0,0,0,0,0,0,0,196800,0
peterad01,1417,39,0,0,39,0.68334,5,11,1.02068,0,0,0,0,0,0,0
peterad02,4,3,0,0,3,0,0,0,0.6667,0,0,0,0,0,0,0
peterbo01,535,43,0.19084,0.5,40,0.8519,0,0,0,0,0,0,0,0,0,0
peterbr01,880,181,0.219616,0.666667,141,0.7435,0,0,0,0,0,0,0,0,0,0
peterbr02,71,23,0.0769231,0,9,1,0,0,0,0,0,0,0,0,0,0
peterbu01,746,13,0.236842,0,13,0.96225,0,0,0,0,0,0,0,0,0,0
peterca01,2573,536,0.229915,2.375,301,0.84415,0,0,0,0,0,0,0,0,0,0
peterch01,1774,136,0.217822,0,136,0.963383,19,25,1.26368,0,0,0,0,0,332800,0
peterch02,10,7,0.153846,0,7,0.97725,0,0,0,0,0,0,0,0,0,0
peterfr01,3718,355,0.159223,0.153846,355,0.970269,133,131,2.28762,1,0,0,0,0,0,0
peterga01,4762,450,0.221809,1.35714,359,0.834057,124,103,2.26252,2,0,0,0,0,0,0
peterha01,1556,66,0.273292,0.75,65,0.98745,0,0,0,0,0,0,0,0,0,0
peterja01,891,294,0.237379,4.33333,272,0.794467,0,0,0,0,0,0,0,0,514000,0
peterje01,39,7,0,0,7,1,0,2,1.1429,0,0,0,0,0,68000,0
peterji01,2122,41,0.172414,0,41,1,2,6,1.41667,0,0,0,0,0,0,0
peterjo01,3672,615,0.277551,0.272727,619,0.769182,0,0,0,0,0,0,0,0,0,0
peterjo02,2704,112,0.264901,1.75,85,0.846575,0,0,0,0,0,0,0,0,0,0
peterke01,3290,147,0.0909091,0,147,0.740263,13,38,1.04772,0,0,0,0,0,0,0
peterky01,717,20,0.148148,0,20,0.91665,5,9,2.18,0,0,0,0,0,207500,0
peterra01,5,2,0,0,2,1,0,2,0.2,0,0,0,0,0,0,0
peterri01,2486,307,0.277476,0.4,228,0.86925,0,0,0,0,0,0,0,0,0,0
peterru01,891,39,0.166667,0,39,0.94205,7,8,0.99715,0,0,0,0,0,0,0
peterru02,4184,471,0.236498,0.8,399,0.800479,0,0,0,0,0,0,0,0,0,0
petersh01,901,95,0.254808,1,56,0.971567,0,0,0,0,0,0,0,0,0,0
petersi01,8,3,0,0,3,1,2,0,0,0,0,0,0,0,0,0
peterst01,418,56,0,0,56,0.9375,3,3,1.59845,0,0,0,0,0,62500,0
petitgr01,3059,171,0.24937,0.8,173,0.964815,0,0,0,0,0,0,0,0,510000,0
petityu01,3788,197,0.0508475,0,197,0.957667,23,32,3.04323,0,0,0,0,0,1250100,0
petkoma01,3771,390,0.16092,0,390,0.976133,46,28,1.60426,0,0,0,0,0,631722,0
petoste01,284,10,0.166667,0,4,1,0,0,0,0,0,0,0,0,0,0
petrage01,4046,809,0.267343,2,661,0.874745,0,0,0,0,0,0,0,0,412786,0
petribe01,1488,240,0.2571,4.5,219,0.895545,0,0,0,0,0,0,0,0,248500,0
petribi01,29,8,0,0,8,0,0,0,0.8571,0,0,0,0,0,0,0
petrija01,983,154,0,0,154,1,6,10,1.34375,0,0,0,0,0,527500,0
petrori01,4742,1553,0.250835,16.1538,1508,0.959605,0,0,0,2,0,0,0,0,0,1
petryda01,4472,370,0.2,0,370,0.978773,125,104,1.17636,1,0,0,0,0,824167,0
pettepa01,6,2,0,0,2,0.8182,0,0,0,0,0,0,0,0,0,0
pettian01,6727,533,0.137755,0.0555556,531,0.948722,256,153,2.57702,3,0,0,0,1,8078377,0
pettibo01,1492,96,0.24031,2.33333,99,0.717943,0,0,0,0,0,0,0,0,0,0
pettich01,574,11,0.285714,0,5,1,0,0,0,0,0,0,0,0,407000,0
