playerID,BatG,BatAB,BatR,BatH,Bat2B,Bat3B,BatHR,BatRBI,BatSB,BatCS,BatBB,BatSO,BatIBB,BatHBP,BatSH,BatSF,BatGIDP,FieldG,FieldGS,FieldInnOuts,FieldPO,FieldA,FieldE,FieldDP,FieldPB,FieldWP,FieldSB,FieldCS,FieldZR,PitchW,PitchL,PitchG,PitchGS,PitchCG,PitchSHO,PitchSV,PitchIPouts,PitchH,PitchER,PitchHR,PitchBB,PitchSO,PitchBAOpp,PitchERA,PitchIBB,PitchWP,PitchHBP,PitchBK,PitchBFP,PitchGF,PitchR,PitchSH,PitchSF,PitchGIDP,allStarCount,AllStar_MVP,Babe_Ruth_Award,Cy_Young_Award,Gold_Glove_Award,DH_Award,Pitching_Crown,Relief_Award,ROY_Award,Silver_Slugger,Batting_Crown,World_Series_MVP,AL_MVP,NL_MVP,inducted
meistge01,34,119,9,23,6,0,0,0,0,0,3,0,0,5,0,0,0,34,0,0,27,40,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
meistjo01,84,343,59,79,13,5,3,42,10,0,20,0,0,2,0,0,0,85,0,0,198,164,39,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
meistka01,4,7,1,2,1,0,0,2,0,0,0,4,0,0,0,0,0,4,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
meixemo01,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mejiaad01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,5,2,0,1,0,0.455,7.71,0,0,0,0,13,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mejiaje01,114,34,1,1,0,0,0,1,0,0,0,16,0,0,3,0,2,113,18,550,14,18,1,1,0,0,0,0,0,9,14,113,18,0,0,28,550,196,75,16,76,162,1.3030000000000002,16.2,11,14,7,0,813,59,81,4,5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mejiami01,45,23,10,2,0,0,0,0,6,3,0,10,0,0,0,0,0,21,1,150,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mejiaro01,627,1768,212,449,57,12,54,202,22,12,89,238,13,17,19,12,42,495,406,11319,830,43,34,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mejiaro02,133,411,47,90,24,6,10,40,7,3,28,118,3,2,5,4,4,119,113,2902,234,314,22,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mejiasa01,334,348,51,86,13,2,4,31,8,2,16,51,3,1,8,2,8,279,52,2857,240,10,7,2,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,2,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
melanma01,444,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,444,0,1341,50,66,3,5,0,0,0,0,0,21,18,444,0,0,0,168,1341,362,129,25,101,407,2.322,33.81,10,24,17,0,1786,274,148,5,8,36,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
